date,dau
2014-11-18,1513
2014-11-19,1559
2014-11-20,1452
2014-11-21,1388
2014-11-22,1539
2014-11-23,1579
2014-11-24,1522
2014-11-25,1520
2014-11-26,1474
2014-11-27,1539
2014-11-28,1424
2014-11-29,1458
2014-11-30,1660
2014-12-01,1608
2014-12-02,1714
2014-12-03,1694
2014-12-04,1621
2014-12-05,1527
2014-12-06,1698
2014-12-07,1673
2014-12-08,1737
2014-12-09,1804
2014-12-10,1835
2014-12-11,2092
2014-12-12,2622
2014-12-13,1822
2014-12-14,1761
2014-12-15,1757
2014-12-16,1763
2014-12-17,1671
2014-12-18,1638
