user_id,active_days,user_level
4913,10,高价值用户
6118,3,中价值用户
7528,1,低价值用户
7591,8,高价值用户
12645,2,低价值用户
45368,1,低价值用户
63348,2,低价值用户
79824,3,中价值用户
88930,7,高价值用户
100539,5,中价值用户
104155,3,中价值用户
109103,3,中价值用户
113251,3,中价值用户
113960,8,高价值用户
120873,6,中价值用户
151617,10,高价值用户
156608,2,低价值用户
157097,5,中价值用户
189833,15,高价值用户
190327,5,中价值用户
191366,6,中价值用户
213655,10,高价值用户
227293,3,中价值用户
230711,1,低价值用户
239485,1,低价值用户
247543,4,中价值用户
250843,6,中价值用户
263670,3,中价值用户
305685,1,低价值用户
337191,1,低价值用户
355287,3,中价值用户
365699,5,中价值用户
397142,5,中价值用户
413178,3,中价值用户
414388,1,低价值用户
418175,8,高价值用户
429994,2,低价值用户
432337,4,中价值用户
475826,17,高价值用户
483640,3,中价值用户
493013,1,低价值用户
497764,17,高价值用户
501286,5,中价值用户
511319,2,低价值用户
521437,5,中价值用户
565533,9,高价值用户
567790,1,低价值用户
568881,2,低价值用户
595598,5,中价值用户
608951,9,高价值用户
611920,7,高价值用户
632347,11,高价值用户
704891,7,高价值用户
754205,5,中价值用户
764564,3,中价值用户
783072,1,低价值用户
790713,8,高价值用户
801018,5,中价值用户
807106,8,高价值用户
814199,8,高价值用户
828731,9,高价值用户
867381,18,高价值用户
876192,7,高价值用户
908290,1,低价值用户
914729,1,低价值用户
943095,1,低价值用户
985207,3,中价值用户
991563,15,高价值用户
1019952,7,高价值用户
1022699,7,高价值用户
1022919,1,低价值用户
1030408,6,中价值用户
1041761,9,高价值用户
1050684,5,中价值用户
1053725,10,高价值用户
1067578,2,低价值用户
1081595,2,低价值用户
1091123,13,高价值用户
1105998,4,中价值用户
1112140,5,中价值用户
1128409,4,中价值用户
1137672,6,中价值用户
1156843,4,中价值用户
1160607,16,高价值用户
1182380,3,中价值用户
1183504,9,高价值用户
1188241,5,中价值用户
1206079,2,低价值用户
1211225,3,中价值用户
1257131,8,高价值用户
1259845,8,高价值用户
1272577,2,低价值用户
1275653,3,中价值用户
1334962,1,低价值用户
1335738,1,低价值用户
1344672,1,低价值用户
1364464,2,低价值用户
1399592,1,低价值用户
1409005,9,高价值用户
1439794,1,低价值用户
1485361,3,中价值用户
1486585,2,低价值用户
1525511,3,中价值用户
1532868,1,低价值用户
1533885,3,中价值用户
1535240,1,低价值用户
1588051,2,低价值用户
1588502,1,低价值用户
1593616,4,中价值用户
1604248,4,中价值用户
1619789,5,中价值用户
1666891,2,低价值用户
1673252,5,中价值用户
1704058,1,低价值用户
1724469,2,低价值用户
1725399,8,高价值用户
1760140,1,低价值用户
1769128,6,中价值用户
1799885,7,高价值用户
1805148,5,中价值用户
1805740,5,中价值用户
1806084,8,高价值用户
1820303,2,低价值用户
1824572,5,中价值用户
1825186,1,低价值用户
1834928,11,高价值用户
1857066,11,高价值用户
1866742,5,中价值用户
1897583,7,高价值用户
1926899,17,高价值用户
1944583,5,中价值用户
1963813,5,中价值用户
1985644,4,中价值用户
2003464,8,高价值用户
2010204,1,低价值用户
2045844,2,低价值用户
2073744,2,低价值用户
2077849,1,低价值用户
2079867,8,高价值用户
2083985,2,低价值用户
2092395,2,低价值用户
2097413,11,高价值用户
2099277,1,低价值用户
2103285,1,低价值用户
2103722,10,高价值用户
2112922,2,低价值用户
2120923,4,中价值用户
2128246,5,中价值用户
2131753,10,高价值用户
2165371,2,低价值用户
2172795,16,高价值用户
2183798,7,高价值用户
2196875,6,中价值用户
2227874,12,高价值用户
2242451,1,低价值用户
2242773,8,高价值用户
2256395,2,低价值用户
2267344,7,高价值用户
2272401,2,低价值用户
2283337,9,高价值用户
2302002,3,中价值用户
2319819,11,高价值用户
2352151,2,低价值用户
2357844,7,高价值用户
2364046,7,高价值用户
2364863,3,中价值用户
2379445,3,中价值用户
2400099,8,高价值用户
2489487,6,中价值用户
2493818,3,中价值用户
2502524,15,高价值用户
2510646,1,低价值用户
2527320,3,中价值用户
2536588,6,中价值用户
2557196,1,低价值用户
2588780,9,高价值用户
2590763,1,低价值用户
2622091,11,高价值用户
2639819,3,中价值用户
2675166,5,中价值用户
2683726,6,中价值用户
2686606,8,高价值用户
2695854,3,中价值用户
2696208,2,低价值用户
2720721,17,高价值用户
2742560,9,高价值用户
2745737,6,中价值用户
2751701,9,高价值用户
2763135,1,低价值用户
2803672,1,低价值用户
2814416,6,中价值用户
2820961,7,高价值用户
2839379,3,中价值用户
2845412,3,中价值用户
2870275,3,中价值用户
2883429,1,低价值用户
2887948,3,中价值用户
2896763,2,低价值用户
2910556,7,高价值用户
2913602,4,中价值用户
2934039,6,中价值用户
2935703,5,中价值用户
2950136,4,中价值用户
2952532,13,高价值用户
2967122,10,高价值用户
2989110,4,中价值用户
3016266,5,中价值用户
3063448,17,高价值用户
3065306,13,高价值用户
3066501,3,中价值用户
3089923,2,低价值用户
3141769,3,中价值用户
3141933,3,中价值用户
3162324,2,低价值用户
3166978,10,高价值用户
3190957,4,中价值用户
3191339,1,低价值用户
3192805,2,低价值用户
3207324,1,低价值用户
3227231,12,高价值用户
3233000,3,中价值用户
3240412,7,高价值用户
3282021,15,高价值用户
3304327,8,高价值用户
3318666,23,高价值用户
3324323,4,中价值用户
3328558,9,高价值用户
3350428,7,高价值用户
3375066,1,低价值用户
3378138,8,高价值用户
3380259,5,中价值用户
3384843,3,中价值用户
3395807,3,中价值用户
3442818,22,高价值用户
3447448,1,低价值用户
3460631,3,中价值用户
3466367,5,中价值用户
3482403,1,低价值用户
3495324,6,中价值用户
3508821,2,低价值用户
3512329,10,高价值用户
3519280,6,中价值用户
3543407,12,高价值用户
3566914,10,高价值用户
3567524,2,低价值用户
3569244,8,高价值用户
3569918,1,低价值用户
3577313,3,中价值用户
3578206,23,高价值用户
3607854,11,高价值用户
3631290,3,中价值用户
3632278,4,中价值用户
3662776,9,高价值用户
3671315,15,高价值用户
3671520,8,高价值用户
3694961,25,高价值用户
3695398,11,高价值用户
3709994,6,中价值用户
3712578,7,高价值用户
3714513,5,中价值用户
3731463,16,高价值用户
3763394,2,低价值用户
3789630,5,中价值用户
3791755,1,低价值用户
3792677,3,中价值用户
3796254,4,中价值用户
3830694,5,中价值用户
3840121,17,高价值用户
3864501,1,低价值用户
3878869,1,低价值用户
3880359,1,低价值用户
3914310,2,低价值用户
3927253,3,中价值用户
3945782,4,中价值用户
3987745,2,低价值用户
4053567,14,高价值用户
4060646,6,中价值用户
4076820,5,中价值用户
4077888,5,中价值用户
4082863,8,高价值用户
4088842,3,中价值用户
4095217,5,中价值用户
4102557,15,高价值用户
4102766,1,低价值用户
4110055,4,中价值用户
4110672,11,高价值用户
4120403,12,高价值用户
4120881,1,低价值用户
4137745,15,高价值用户
4140926,3,中价值用户
4146900,13,高价值用户
4164164,5,中价值用户
4164359,3,中价值用户
4174826,5,中价值用户
4186010,2,低价值用户
4195964,7,高价值用户
4225412,12,高价值用户
4231989,2,低价值用户
4232880,1,低价值用户
4261260,7,高价值用户
4271718,9,高价值用户
4283186,1,低价值用户
4286657,6,中价值用户
4338344,10,高价值用户
4346474,1,低价值用户
